link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-49.50504139462413,69.92634048733413
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27.0,18.0,-13.0,0.0,50.0,54.0,20.42129909271,-48.79620202632666,69.21750111903665
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26.0,17.0,-11.0,0.0,50.0,54.0,20.42129909271,-57.39685417513893,77.81815326784893
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,19.0,-13.0,0.0,50.0,54.0,20.42129909271,-65.27688120996758,85.69818030267759
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23.0,15.0,-14.0,0.0,50.0,54.0,20.42129909271,-68.71748332463336,89.13878241734336
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25.0,16.0,-13.0,0.0,50.0,54.0,20.42129909271,-65.25613784238048,85.67743693509048
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25.0,16.0,-12.0,0.0,50.0,54.0,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22.0,18.0,-14.0,0.0,50.0,54.0,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21.0,16.0,-15.0,0.0,50.0,54.0,20.42129909271,-70.07177815049948,90.49307724320948
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19.0,14.0,-12.0,0.0,50.0,54.0,20.42129909271,-73.75076620237003,94.17206529508003
