link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27,19,-12,0,49,52,20.405059981596665,-48.473594853727604,68.87865483532427
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26,19,-13,0,49,52,20.405059981596665,-49.17984982506613,69.5849098066628
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,27,17,-12,0,49,52,20.405059981596665,-58.331884696520326,78.736944678117
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,11,27,18,-8,0,49,52,20.405059981596665,-62.17266037661201,82.57772035820867
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22,15,-14,0,49,52,20.405059981596665,-69.99603095020278,90.40109093179944
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25,16,-12,0,49,52,20.405059981596665,-65.06288931008811,85.46794929168477
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25,16,-11,0,49,52,20.405059981596665,-65.52986273249414,85.9349227140908
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22,18,-13,0,49,52,20.405059981596665,-67.51556778623619,87.92062776783285
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21,16,-15,0,49,52,20.405059981596665,-70.4429121711145,90.84797215271116
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19,15,-14,0,49,52,20.405059981596665,-73.99261126368717,94.39767124528383
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,22,15,-15,0,49,52,20.405059981596665,-70.3937326960987,90.79879267769536
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,23,16,-14,0,49,52,20.405059981596665,-67.97439810308852,88.37945808468518
