link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
1to2,0,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,27,18,-14,0,50,54,20.42129909271,-49.50504139462413,69.92634048733413
1to2,0,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,0,5,26,20,-14,0,50,54,20.42129909271,-49.50374919614465,69.92504828885465
1to2,0,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,1,5,26,18,-12,0,50,54,20.42129909271,-57.979027622676625,78.40032671538663
1to2,0,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25,18,-13,0,50,54,20.42129909271,-65.27688120996758,85.69818030267759
1to2,0,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23,16,-15,0,50,54,20.42129909271,-69.20157737718897,89.62287646989897
1to2,0,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,5,25,16,-14,0,50,54,20.42129909271,-65.76983647251765,86.19113556522765
1to2,0,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,6,25,16,-12,0,50,54,20.42129909271,-65.71240241503382,86.13370150774382
1to2,0,7,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,7,22,18,-14,0,50,54,20.42129909271,-67.6875254581965,88.1088245509065
1to2,0,8,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,10,22,17,-12,0,50,54,20.42129909271,-69.5022060178212,89.9235051105312
1to2,0,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,7,19,15,-13,0,50,54,20.42129909271,-74.17184743029831,94.59314652300831
1to2,0,10,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21,15,-14,0,50,54,20.42129909271,-69.5131990393424,89.9344981320524
1to2,0,11,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23,15,-14,0,50,54,20.42129909271,-68.57784164742513,88.99914074013513
1to2,0,12,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,9,21,18,-14,0,50,54,20.42129909271,-69.45452824140307,89.87582733411307
1to2,0,13,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,2,8,23,19,-12,0,50,54,20.42129909271,-67.50009150454845,87.92139059725845
1to2,0,14,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,15,3,6,19,15,-14,0,50,54,20.42129909271,-73.49717613113698,93.91847522384698
